,Continent,Organisation,Operating in,Response,Provided,Document / Page,area (ha),start (year),duration,define_success (Y/N),define-notes (direct extract),define-classification,SMT,monitor (Y/N),monitor-notes (direct extract),monitor-classification,evaluate (Y/N),evaluate-notes (direct extract),evaluate-classification,Notes
28,Central / South America,Instituto Homem Pantaneiro,Brazil,NO,NA,"https://institutohomempantaneiro.org.br/quem-somos/

https://institutohomempantaneiro.org.br/wp-content/uploads/2021/10/Amolar_Network_Report_2019.pdf

https://institutohomempantaneiro.org.br/wp-content/uploads/2024/05/INST-HOMEM-PANTANEIRO-relatorio-2023-completo-pag-dupla.pdf",20533,2002,23,YES,"The institution's mission is to ""Preserve the Pantanal"" and the institution's main objectives and lines of action according to the Articles of Association are: 
promote, support, publicize, coordinate, develop, participate in and execute programs, plans, projects and activities related to education, culture, history, tradition, socio-economics, sports, tourism, conservation and preservation of the environment, projects and activities related to culture, tradition and improvement of environmental quality, especially in the Pantanal Biome; 
promote, support, disseminate, coordinate, develop, participate in and execute programs, plans, projects and activities related to education, training and qualification of human resources in the areas of culture, history, tradition, socio-economics, sports, tourism, conservation and preservation of the environment; 
promote, support, disseminate, coordinate, develop and execute studies and research in the cultural, historical, environmental and socio-economic areas;
promote, carry out and disseminate research and studies, organize documentation and develop projects in the areas of culture and the environment; 
provide and perform services, advisory services and consultancy to governmental and non-governmental institutions, public and private companies, individuals and legal entities, in the areas of planning and execution of activities related to education, culture, history, tradition, socio-economics, sports, tourism, conservation, environmental preservation, environmental services and improvement of environmental quality; 
promote, organize, produce, publicize and participate in national and international events and campaigns to support the conservation of environmental heritage, improvement of environmental quality, culture, tradition, history, sports and tourism; 
defend, in court and out of court, the diffuse, collective and homogeneous individual rights and interests of the needy communities to which it provides assistance and of the environment.","Social
Knowledge sharing
Other (legal)",M,YES,"2019 report outcomes: 
54 trips for biodiversity monitoring, 11,880km monitored river, 270 days monitoring, species monitoring, monitoring of water vessels
Camera traps to monitor bioindicator species

Google Translate of 2023 report:
Monitoring through species recording 
Monitoring biodiversity, 
Scientific studies","Fieldwork
Wildlife tracking",NO,NA,NA,"Portuguese language - 2023 report

Area - list in 2019 report of network’s outreach area for IHP = 190 + 78 + 16 + 20,259 = 20,533

Ran the 2023 PDF report through Google Translate - formatting was v diff."
29,Central / South America,Instituto Serra do Tangará,Brazil,NO,NA,"https://novamata.org/iniciativa/reserva-ecologica-serra-do-tangara/

https://institutoserradota.wixsite.com/serradotangara?fbclid=IwY2xjawIG7hlleHRuA2FlbQIxMQABHVy19LA7E1fS2XpmiqmcRBb5HcGPLnPaAwnBUkiK3Z-3ENM5tSqNMRH3FQ_aem_j4y2L53Y9kwr7IipG6q-pw",20400,2020,5,YES,"Mission
Promote the conservation and preservation of the remaining forests of the Serra do Tangará Ecological Reserve, encouraging research, forest restoration, environmental education, ecotourism, the formation of socio-environmental public policies and the adoption of sustainable activities
Vision
To be a strong, active organization recognized for the relevance of the socio-environmental projects developed in the Serra do Tangará Ecological Reserve.  ","Knowledge sharing
Social",NO,YES,"Environmental Protection – aims to reduce threats to the region's biodiversity, carried out through monitoring and preventing illegal acts, such as hunting, deforestation and burning.  
The entire process, including seedling growth in the nursery and monitoring of seedlings in the field, is carried out by biologist Jovani Monteiro.",Fieldwork,YES,,NA,
30,Central / South America,Ofrenda A'bunna,Colombia,NO,NA,https://www.ofrendaabunna.org/about-us,3237,2016,9,YES,"OUR GOALS:
Our goal is to purchase and protect 5,000 more acres of Arhuaco ancestral territory in five years.",Habitat structure,SMT,YES,"Forest cover on Arhuaco ancestral land expanded by 63% in twelve years, according to satellite images comparing land management in 2010 to 2022.",Remote sensing,YES,"Forest cover on Arhuaco ancestral land expanded by 63% in twelve years, according to satellite images comparing land management in 2010 to 2022. 
We have already protected 8,000 acres",Area,
31,Central / South America,OSA Conservation,Costa Rica,NO,NA,"https://osaconservation.org/our-impact/
https://osaconservation.org/about-us/annual-reports/
https://osaconservation.org/wp-content/uploads/2024/02/2023-IMPACT-REPORT.pdf",1330428,2003,22,YES,"Mission: To conserve the globally significant biodiversity of Southern Costa Rica by implementing ecosystem stewardship, enhancing scientific understanding, providing education and training, and creating sustainable economic opportunities","Social
Diversity
Knowledge sharing",M,YES,Deployed or monitored 86 transmitters to track elusive wildlife movement… GPS seaturtle tag…local community members trained to monitor biodiversity using citizen science technology…monitoring training…acoustic monitoring…,"Fieldwork
Wildlife tracking",YES,"home page = acres in working landscape, sea turtle hatchlings released, visitors to the sites, trees planted, acres protected, citizen science observations
2023 annual report Impact Map
mangroves planted, GPS data points, restoration network members, km patrolled, rare, native and threatened trees planted, lbs plastic removed from sea turtle nesting habitat, sea turtle tagged","Area
Species
Internal
Academic
Social
Diversity",
32,Central / South America,Reforestamos,Mexico,NO,NA,"https://www.reforestamosmexico.org/wp-content/uploads/2023/09/Informe-anual-2022-ingles.pdf
2023 is Spanish only",12000000,2002,23,YES,"Con 22 años de trayectoria nuestra misión ha consistido en Asegurar más y mejores bosques para 
impulsar el desarrollo sostenible. Nuestra visión, Lograr que los bosques sean nuestros principales aliados 
para alcanzar las metas de desarrollo sostenible 2030 de la ONU. Para ello plantemos cuatro objetivos y 
líneas de acción:
- Detener deforestacion
- Manejo forestal certificado
- Restauracion
- Arborizacion

ENGLISH:
With 22 years of experience, our mission has been to ensure more and better forests to drive sustainable development. Our vision is to make forests our main allies in achieving the UN 2030 Sustainable Development Goals. To achieve this, we have established four objectives and lines of action:
- Stop deforestation
- Certified forest management
- Restoration
- Tree planting",Habitat structure,M,YES,"Among the urban activities carried out in 2022 in Mexico City were the planting of 77 trees and three monitoring visits to La Mexicana Park…Monitoring Groups were set up for collaboration and joint cocreation between authorities and stakeholders to strengthen the right of access to public information
Through the Natural Resources Transparency Index developed by our Advocacy Partnerships team, together with three partner organizations, we were able to measure an increase in public information in the forestry sector.

CM: Lots on page 5 of the pdf. They keep track of how many reforestation events, volunteers, the area that is reforested, how many trees are planted, how much area is certified by FSC, they also mention different metrics of how they have helped community businesses.

They also mention monitor metrics in the project descriptions, including groups that monitor transparency in the forestry sector","Fieldwork
Consultation",YES,"CM: Mention a lot in the project summaries about the impact they have had. Seems similar to the kinds of things under monitoring, so im not sure?

Among the urban activities carried out in 2022 in Mexico City were the planting of 77 trees and three monitoring visits to La Mexicana Park…Monitoring Groups were set up for collaboration and joint cocreation between authorities and stakeholders to strengthen the right of access to public information
Through the Natural Resources Transparency Index developed by our Advocacy Partnerships team, together with three partner organizations, we were able to measure an increase in public information in the forestry sector.

CM: Lots on page 5 of the pdf. They keep track of how many reforestation events, volunteers, the area that is reforested, how many trees are planted, how much area is certified by FSC, they also mention different metrics of how they have helped community businesses.

They also mention monitor metrics in the project descriptions, including groups that monitor transparency in the forestry sector","Social
Internal
Area","Spanish language -Cecilia Maria Montauban

Area: “Reforestamos works to generate statistical and geographic forest information on the territories in which it has an impact in order to facilitate decision-making and better territorial intervention in the Landscapes and Forest Connectivity Corridors in Mexico. By the end of 2022, 12 million hectares were characterized in eight forest connectivity corridors in 16 Mexican states”"
33,Central / South America,Rewilding Argentina,Argentina,NO,NA,https://www.rewildingargentina.org/wp-content/uploads/2024/05/RA-Annual-Report-2023_LR.pdf,407000,2010,15,YES,"Since 2012, Rewilding Argentina has been working in the region with the objective of increasing the legal protection of the land, restoring wildlife populations, developing high-quality tourist infrastructure and public access to protected areas, and promoting one-of-a-kind nature tourism experiences.","Social
Other (legal)
Diversity",M,YES,"187 Telemetry and satellite devices deployed to monitor wildlife…populations must be monitored mainly through direct observation and camera traps…we carried out thirty patrols along 100 kilometers of the Bermejo River and carried out three threats monitoring campaigns within and along the border of El Impenetrable National Park….lots of individuals fitted with satellite collars, and rings,","Wildlife tracking
Fieldwork",YES,"Our impact so far: We donated over 407 thousand hectares (over 1 million acres) of land to create and expand 10 national and provincial parks that protect over 1,5 million hectares (3,7 million acres). ""is protected land sequesters 938 million metric tons of carbon. At sea, we helped protect 96 thousand square kilometers of the Argentine Sea with the creation of the !rst national marine parks in Argentina. We are reintroducing 16 missing species to their natural habitats in Argentina, and working with research and active management of 14 threatened species to increase their population numbers. 6 ecoregions are being positively-impacted by territorial conservation models: the Iberá wetlands, the Great Chaco, the Patagonian steppe, the Argentine Sea, the Cloud forest, and the Patagonian forest. We are helping to create 4 nature-based tourism destinations: Iberá, El Impenetrable, Patagonia, and We donated over 407 thousand hectares (over 1 million acres) of land to create and expand 10 national and provincial parks that protect over 1,5 million hectares (3,7 million acres). ""is protected land sequesters 938 million metric tons of carbon. Patagonia Azul, where we are developing 14 park gateways with public-use infrastructure linked to local communities.

socioeconomic survey…the information obtained through the survey will allow us to design and implement, together with these other organizations, actions aimed at increasing well-being in accordance with the needs of this community, and to evaluate the long-term impact of our local development initiatives based on cultural and nature tourism.","Area
Internal
Species",Area -We donated over 407 thousand hectares (over 1 million acres) of land
34,Central / South America,Rewilding Chile,Chile,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,https://www.rewildingchile.org/web/wp-content/uploads/2024/06/Annual-Report-2023_EN-Digital.pdf,3000000,1992,33,YES," goal of countering both climate change and the species extinction crisis

MISSION To encourage Rewilding as a holistic conservation strategy in the Route of Parks of Patagonia in order to counter the species extinction crisis and the climate crisis, by creating National Parks and marine parks, restoring ecosystems, and strengthening local communities’ connection with nature.
","Ecosystem
Social",NO,YES,"Use of Artificial Intelligence for realtime monitoring of camera traps…Installation of 100 camera traps in Patagonia National Park to monitor the presence of wild cats…camera traps and radio telemetry,",Wildlife tracking,NO,NA,NA,Area and start year from conversation
35,Central / South America,Sociedale de Pesquisa em Vida Selvagem (SPVS),Brazil,NO,NA,https://www.spvs.org.br/_files/ugd/e54e9a_99b1f1e71ff14690bfbd102c3e54a04b.pdf,"19,000",1984,41,YES,"Mission
SPVS's mission is to work for the conservation of nature, through the protection of native areas, environmental education actions and the development of models for the rational use of natural resources.
The institution's projects are designed to address central issues of biodiversity conservation, seeking to reverse scenarios that threaten ecosystems and species, involving communities and establishing alliances with companies, government actors and other third sector institutions.","Ecosystem
Social",NO,YES,"Monitoring of photographs, filming and viewing of footprints, in
addition to the installation and monitoring of camera traps, which
continue to attest to the record of the presence of rare wild animals
and tops of the chain such as: puma (Puma concolor), jaguar
(Panthera onca), tayra (Eira bar-bara), wildcat (Leopardus tigrinus),
tapir (Tapirus terrestris), collared falcon (Micrastur semitorquatus),
among others

Monitoring of 105 nests in Paraná during the breeding season
of the purple-faced parrot. Recorded reproductive activity in 44
nests, with the birth of 26 chicks and successful fledging of 9
chicks.
Monitoring of 20 nests, and location of 3 more active nests,
during the reproductive period of the purple-breasted parrot, with
the birth and success of 6 chicks.

• Obtaining 13 records of the species, nine different groups, in the
Superagui National Park (PR), using playback, linear transect and
installation of camera traps methods.","Wildlife tracking
Fieldwork",YES,"In 2023, the main highlights of SPVS's performance were:
• Management and handling of three of our own Natural Reserves, totaling more than 19 thousand hectares
• Generation of more than 6.2 million reais in Ecological ICMS, for the municipalities of Antonina and Guaraqueçaba (PR); 
Development of Agroforestry Systems (SAFs) methodologies
with training of local communities;
• Conservation, management and research with endemic species, threatened with extinction, such as the purple-faced parrot, the red-breasted parrot, -purple and black-faced lion tamarin;
• Generation of employment and income in the region, contributing to the improvement of socioeconomic indicators
• Development of public use and ecotourism activities in Natural Reserves; Carrying out nature conservation education and communication
activities with a wide range of audiences;
• Support for the creation of the Payment for Environmental Services Law (PSA) in the municipality of Antonina (PR);
• Development of advocacy initiatives and partnerships with the Public Authorities to strengthen nature conservation actions and policies;
Participation in regional environmental meetings, committees and forums Formalization of partnerships with the private sector for the development of projects; 
Use of media, social networks and events to publicize initiatives
and raise awareness in society about environmental issues","Area
Internal
Social
Species","Portuguese language

Put 2023 annual report through Google Translate"
36,Central / South America,Terra Habitus,Mexico,NO,NA,"https://terrahabitus.org.mx/wp-content/uploads/2024/06/Informe-Anual-2023.pdf
Spanish language",NA,2021,NA,YES,"una organización privada que promueve 
iniciativas para una mejor gestión de los recursos hídricos, la 
regeneración de ecosistemas y el desarrollo sostenible en el noreste 
de México.
 Trabajamos en alianza con la ciudadanía, organizaciones de la sociedad civil, 
el sector empresarial, la academia y el gobierno.
 PROPÓSITO
 Mejorar la calidad de vida a través de la 
naturaleza.
 VISIÓN
 Una sociedad y un entorno natural 
que inspiran a México y al mundo 
a construir un legado sostenible de 
prosperidad.
 Desarrollamos alianzas, modelos y 
soluciones regenerativas, innovadoras 
y disruptivas que conservan la 
naturaleza y mejoran nuestras vidas.

ENGLISH:
A private organization that promotes initiatives for better water resource management, ecosystem regeneration, and sustainable development in northeastern Mexico. We work in partnership with citizens, civil society organizations, the business sector, academia, and the government. PURPOSE To improve the quality of life through nature. VISION A society and a natural environment that inspire Mexico and the world to build a sustainable legacy of prosperity. We develop regenerative, innovative, and disruptive partnerships, models, and solutions that conserve nature and improve our lives.

CM: the pdf summarises the overall activities, which include include: 
1. The development of the Río Ciudad project, through which we promote the conservation of watersheds and riparian ecosystems and their strategic link to the water resilience of the Monterrey Metropolitan Area and other cities in the northeast of the country.
2. The launch of the Rancher Seminars project, aimed at ejidatarios and private landowners, whose purpose is to promote the large-scale preservation of landscapes and biological corridors in the region.
3. Progress in the development of innovative tools and mechanisms in conservation finance, applicable to Mexico and Latin America, with the goal of ensuring stable, long-term financing for large-scale conservation and sustainable development actions.
4. The establishment of collaborative alliances with the Harvard University Graduate School of Design, the Antonio Narro Autonomous Agrarian University, and the governments of Nuevo León and Coahuila.
5. The institutional strengthening of Terra Habitus, A.C. through the development and definition of a three-year strategic plan, the development of internal policies and procedures, and the implementation of information and communication technology tools for improved collaboration and teamwork.
6. The communication of our actions and technical opinions on topics relevant to the conservation and regeneration of nature. This has been achieved through the publication of opinion pieces in national and regional newspapers. Participation in the Healthy Planet, Healthy You podcast, focused on raising awareness about the importance of caring for the health of the planet and its people.","Ecosystem
Social
Habitat structure
Knowledge sharing",NO,NO,NA,NA,NO,"CM: They talk about important advances in three programs: Sustainable sities and water resilience; regenerative landscapes; and conservation finance.

",NA,"Spanish language -Cecilia Maria Montauban
Start year: CM: they say 2023 was their third year"
37,Central / South America,Wildtracks,Belize,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"5 goals of wildtracks
https://www.wildtracksusa.org/protected-areas",736,1990,35,YES,"THE 5 GOALS OF WILDTRACKS INCLUDE:
1. Contribute to the increased viability of threatened species in Belize and worldwide though national conservation collaborations, addressing threats, and strengthening rehabilitation and release back into the natural environments of Belize.
2. Contribute toward national and international conservation and biodiversity goals, priorities and targets
3. Engage and inspire both national and local communities toward improved awareness and active stewardship of Belize’s natural resources
4. Promote a balance between conservation and sustainable development across landscapes and seascapes that ensures continued viability of wildlife and builds environmental resilience to climate change
5. Secure the necessary infrastructure, as well as human and financial resources, for effective organizational management and expansion to achieve our strategic goals, outputs and long-term stability","Social
Other (targets, financial)
Ecosystem",NO,YES,"wildlife rehabilitation doesn't end when the animals are released – their success in returning to the wild needs to be monitored for at least a year, to ensure that they are coping with conditions in the forest, maintaining good health, adopting a completely wild lifestyle, and entering the breeding population. 
Once old enough, the calves are fitted with a satellite tracking device and enter soft-release – living free in the lagoon. They are introduced to the seagrass beds, and constantly monitored remotely using the satellite information. This stage continues for up to a year – the extended soft release process is critical in the preparation for a successful reintroduction to the wild, providing time for the young manatees to not only learn about the wild environment, but also to be are weaned off human dependence.",Wildlife tracking,NO,NA,NA,
38,Europe,ARK Nature Foundation,Netherlands,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"https://issuu.com/basreijnen/docs/jaarverslag_2024_issuu?utm_medium=referral&utm_source=arkrewilding.nl
Dutch language",318,1989,36,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.

Jonas:
They have a multi-year-plan in which they highlight goals. This includes the development plans for 7 nature areas for which they formulated ambitions and goals, as well as a plan for boosting rewilding in the Netherlands. While much of the text is structured around programmes and activities, if you step back, the core overarching goal of ARK Rewilding Nederland becomes clear and is quite consistently described. There are however few quantifiable, measurable goals stated:

Upscaling rewilding in the Netherlands by giving space and time to natural processes that allow ""nature to become Nature"" (ruimte en tijd voor natuurlijke processen die natuur tot Natuur maken).

In other words, their definition of success would broadly be:

A more nature-rich, vital Netherlands, where rewilding is mainstreamed across land management, education, societal debate, and policy.

Building a strong, supportive infrastructure for rewilding: through knowledge sharing, education, public outreach, creating networks, and inspiring leadership.

Becoming the recognized and leading Dutch organization for rewilding (with rebranding towards ""Rewilding Nederland"" being considered to reflect that ambition).

A few more key phrases that could serve as ""mission-like"" or ""objective"" definitions:

""Opschaling van rewilding"" (upscaling rewilding).

""Het rewilding gedachtengoed ingebed krijgen in de curricula"" (embedding the rewilding philosophy into curricula).

""Een netwerk ontwikkelen van actoren die rewilding-initiatieven mogelijk maken"" (building a network of actors who can realize rewilding initiatives).


Original text describing their goals for scaling up of rewilding: • Het opzetten van een interactieve kaart met alle rewilding-initiatieven, inclusief alle 
ARK-projecten uit de afgelopen decennia.
• Het aanbieden van online kennis-modules.
• Het opzetten van een programma van activiteiten waar geïnteresseerde rewilders elkaar 
periodiek ontmoeten, kunnen debatteren en ervaringen uitwisselen. Wij denken aan 
lezingenreeksen, een jaarlijks symposium, podcastseries etc..
• Het organiseren van reizen naar (Nederlandse en buitenlandse) referentie-gebieden
2. Programma Young Rewilding Professionals
Wij investeren de komende jaren ook verder in ons educatie-programma gericht op de 
toekomstige beheerders en ontwikkelaars van natuur en landschap in Nederland. Wij schalen onze inzet op om het rewilding gedachtengoed ingebed te krijgen in de curricula van 
nagenoeg alle groene opleidingen in Nederland. De ambitie is om alle groene opleidingen 
te bereiken en ons daarbij niet alleen te richten op inhoudelijke kennis van rewilding (natuurlijke processen) maar ook bij te dragen aan het creëren van een nieuwe generatie die 
onze ambitie van een natuurrijk vitaal Nederland draagt en mee-uitdraagt. 
Onderdeel van dit programma is onder meer:
• Het uitbouwen van een netwerk met docenten en opleidingsdirecteuren van alle groene 
HBO en WO-opleidingen in Nederland (en wellicht ook aangrenzend buitenland).
• Het verzorgen van gastcolleges, cursussen en velddagen.
• Het uitbouwen van een rewilding netwerk voor toekomstige en jonge professionals (ook 
buiten de opleidingen om).
• Het betrekken van studenten in onze gebiedsprogramma’s (stages en onderzoeksprojecten).
We zetten ons sterker in om studenten en young-professionals de kracht van rewilding te laten zien.
opschalen van rewilding in nederland
meerjarenplan stichting ark 2023-2027
3. Programma Rewilding kennis delen
De opschaling van rewilding vraagt om het beschikbaar maken van kennis en ervaringen 
met rewilding. ARK kan bouwen op een decennialange ervaring. Die ervaring is van grote 
waarde en geeft ons recht van spreken. Ook op andere plekken in de wereld neemt de kennis 
over rewilding met de dag toe. ARK zal de brede ervaring de komende jaren vastleggen, 
bundelen, versterken en ontsluiten voor partijen die zelf aan de slag willen en kunnen, 
waaronder de partijen die we bereiken via het Rewilding Netwerk.
Om deze rol met voldoende aandacht en inzet te kunnen invullen wordt een team opgebouwd van ARK’ers en derden die de inhoudelijke natuurkennis en ervaring met natuurontwikkeling bundelen, ontsluiten én uitdragen. De leden van het team zullen meedraaien 
in onze eigen gebiedsprogramma’s, om deze kennis verder in de praktijk te ontwikkelen 
en om deze te laten landen in onze eigen veldprojecten. 
Onder leiding van de programmatrekker wordt een werkplan opgesteld. Activiteiten waaraan gedacht wordt zijn onder meer:
• Het inrichten van specifieke kennis-pagina’s op onze website. Naast specifieke inhoudelijke natuurontwikkelingskennis (bosontwikkeling, moerasveen, carnivoren, 
begrazing, dood-doet-leven, schelpdierrifherstel) betreft het ook organisatorische 
ervaringen (projectmanagement, ondernemende gebiedsontwikkeling, aantrekken 
werkkapitaal etc.).
• Het uitgeven van een handboek rewilding (naar voorbeeld Rewilding Britain).
• Het publiceren van papers, artikelen in vakbladen.
ARK Rewilding Nederland staat voor ruimte en tijd voor de natuurlijke processen die natuur tot Natuur maken. 
• Het op verzoek ondersteunen van rewilding-initiatieven van derden (met name projecten 
van enige omvang en hoge score op de ‘rewildingladder’). 
• Het via onze veldprojecten podium bieden aan wetenschappers en journalisten die de 
impact van rewildingprojecten in beeld brengen.
• Het opbouwen en onderhouden van een netwerk van onderzoekers en wetenschappers 
(Wilde Denktank).
4. Programma Rewilding Promotie
De opschaling van rewilding vraagt om uitgesproken en inspirerende pleitbezorgers die 
het concept rewilding dragen en met verve uitdragen. ARK zal deze rol, als dé Nederlandse 
rewilding organisatie in de komende jaren explicieter en pro-actiever oppakken. Wij zullen 
vaker en meer uitgesproken naar voren treden in het maatschappelijke debat. 
Ook deze rol zullen wij programmatisch aanpakken. Een klein toegewijd team heeft als taak 
om ons voor te bereiden om wanneer aan de orde adequaat te kunnen reageren. Onderdeel 
van dit programma zullen onder meer zijn:
• Het opbouwen van een netwerk van ‘rewilding ambassadeurs’ die bij gelegenheid naar 
voren kunnen worden geschoven.
• Het trainen van persoonlijke skills van ARK’ers (mediatrainingen).
• Het voorbereiden van betooglijnen en spraakmakende ‘narratives’ over rewilding in 
helder en aansprekend taalgebruik. 
• Het samenstellen van issue-papers over relevante maatschappelijke thema’s (stikstof, 
klimaat, wildbeheer, natuurbeleid etc.), waar mogelijk gebaseerd op eigen ervaringen 
en praktijkvoorbeelden uit de landschappen waar we werken.
• Het doorzetten van de reeds lopende campagne #MeerNatuur, waarin wij voor diverse 
Nederlandse landsdelen de potenties verkennen van robuuste natuurlandschappen.
• Het vaker zichtbaar en explicieter naar voren treden op sociale media en op andere 
media met een breed bereik, in nieuws- en opinie en in vakbladen.
Een nieuwe naam
Om deze nieuwe rol te onderstrepen zullen wij onze positie als dé Nederlandse rewilding 
organisatie laten doorklinken in onze positionering. Als eerste stap zullen wij ons presenteren als “ARK Rewilding Nederland”. Daarbij past ook dat we onze uitstraling aan de tijd 
aanpassen, de website doorontwikkelen en zorgen dat uitingen aansluiten bij onze rewilding-koers en ambities. In de komende jaren zal een verdere rebranding naar Rewilding 
Nederland onderzocht worden. 
1. Programma Rewilding Netwerk Nederland 
De opschaling van rewilding vraagt om een netwerk van particuliere, private en publieke 
actoren die het verschil kunnen maken (grond, geld, uitvoering, macht) die elkaar inspireren 
en steunen bij het ontwikkelen en realiseren van rewildingprojecten. ARK zal de ontwikkeling van dit netwerk van rewilding initiatieven de komende jaren initiëren en faciliteren.
De wijze waarop wij deze uitdaging zullen oppakken en invullen zal nog moeten worden 
uitgewerkt. Wij zullen daarbij uiteraard samenwerken met Rewilding Europe en de recente 
ervaringen van Rewilding Britain met het opzetten van een vergelijkbaar netwerk benutten. 
Op dit moment denken wij onder meer aan de volgende initiatieven:
• Het ontwikkelen van een digitaal platform, een ‘thuishaven’ waar ontwikkelaars van 
rewilding-initiatieven inspiratie, en informatie kunnen vinden. Een plek waar rewilders 
successen kunnen delen, met elkaar in contact kunnen komen en onderlinge samenwerkingen kunnen opzetten.
• Het uitwerken van uitgangspunten en principes voor rewilding initiatieven.","Ecosystem
Social
Knowledge sharing
Species",SMT,YES,"Jonas

There is monitoring going on in multiple projects, yet there is little notice of actual deliverables to monitor. For example for the reintroduction of the wild cat: Since 2006, more than 1,600 locations in Limburg and North Brabant have been monitored using camera traps. In addition, around 400 locations have been surveyed in the zone north of the Eifel and Ardennes, up to fifteen kilometers from South Limburg. Both professionals and volunteers have spent many hours collecting and reviewing footage, allowing the expansion of the wildcat to be clearly documented. Furthermore, during the winters of 2014–2015 and 2023–2024, several cats in South Limburg were fitted with GPS collars, providing new insights into their behavior and how they move through the landscape.

Original text about monitoring for the wild cat: Sinds 2006 zijn in Limburg en Noord-Brabant meer dan 1.600 locaties met cameravallen gemonitord. Bovendien zijn zo'n 400 locaties onderzocht in de zone ten noorden van de Eifel en de Ardennen, tot vijftien kilometer van Zuid-Limburg. Zowel professionals als vrijwilligers hebben vele uren aan beeldmateriaal verzameld en bekeken, waardoor de opmars van de wilde kat nu goed in beeld is te brengen. Daarnaast zijn in de winters van 2014 op 2015 en 2023 op 2024 meerdere katten in Zuid-Limburg voorzien van een GPS-halsband, wat nieuwe inzichten heeft opgeleverd in hun leefwijze en de manier waarop ze zich door het landschap bewegen.","Wildlife tracking
Fieldwork",YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.

Jonas
They also report examples of successes: collaborations, Nord sea (6 trials for mussel farms, 10.000.000 oysters planted, looking for new rewilding areas, new nature (74 ha obtained, 107 ha handed over to new management, 318 ha under management), publications (three noted), and successes in the three-country-park (return of a butterfly, planting of 10.000 shrubs and trees, introduced 10 wild cats, 44 cameras for monitoring)","Internal
Area
Species
Academic",Dutch language - Jonas Lembrechts
39,Europe,Beaver Trust,UK,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,https://beavertrust.org/wp-content/uploads/2024/02/End-of-year-report-Dec-2023.pdf,NA,2021,4,YES,"Document - Strategy to 2027
Beaver Trust has three headline goals and everything that we do supports one or more of these goals: 
R e s t o r e: We facilitate the restoration of beavers throughout Britain, prioritising catchments that maximise biodiversity and ecosystem benefits, connect and augment existing populations and promote holistic land use practices for long-term coexistence with the species. 
C o m m u n i c a t e & E d u c a t e: We mobilise widespread public understanding, and engagement with targeted interest groups, to inform and encourage acceptance of the changes beavers bring and prepare people to co-exist with them. 
Influence: We work with stakeholders and governmental bodies to develop national strategies and policies that enable the restoration and normalisation of beavers and wetlands alongside pragmatic management and mitigation.

Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.","Species
Knowledge sharing",SMT,NO,"Document - We will review and adapt this strategy every six months to ensure that the focus of our work is current and that we focus our resources on the best way for maximum impact in delivering on our mission. Our success will be monitored by our Board by reviewing progress against agreed priorities in our annual operational plan.
Beaver Trust is grounded in the crucial importance of high standards of animal welfare. This year, we have purchased specialist remote monitoring equipment.
Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.
",Aspirational (Wildlife tracking),NO,"Document - We will review and adapt this strategy every six months to ensure that the focus of our work is current and that we focus our resources on the best way for maximum impact in delivering on our mission. Our success will be monitored by our Board by reviewing progress against agreed priorities in our annual operational plan.

Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.","Aspirational (Internal, academic)",
40,Europe,Bunloit rewilding,Scotland,NO,NA,"https://www.highlandsrewilding.co.uk/bunloit-estate
https://static1.squarespace.com/static/621f9623d02fad4ef3e6b253/t/6568c20d9cfd521fe1d31ea3/1701364285366/Third+Natural+Capital+Report",511,2020,5,YES,"We have four long-term goals: 
Meaningfully reduce emissions and increase sequestration of carbon - within our restored soils (primarily peatlands), grasslands and woodland areas. 
Meaningfully increase biodiversity - through the ongoing creation and enhancement of native, biodiverse habitats. 
Increase community agency over, and benefits from, land management, including via local employment, housing, and a range of other site-specific outcomes 
Become sustainably profitable - developing natural capital and other income streams to create profitable models for nature recovery.","Abiotic
Diversity
Social
Other (Finance)",M,YES,"Since the start of the project, the Bunloit estate has been the subject of a twelve-month consultation with conservation groups, scientists, expert ecologists, government and the local community. In the second year we conducted baseline natural capital surveys that are informing our land management plan for the future.
Each month we set up a Malaise trap, as shown in the photo below, for 24 hours at both Bunloit and Beldorney to capture flying insects. These insects are sent to the Sanger for DNA metabarcoding, and we will receive the species information, providing us with fascinating insights into how species change throughout the year and over time…We are also walking bumblebee transects on both Bunloit and Beldorney/…soil eDNA a total of 54 soil samples were collected from across the estate…We therefore carried out browsing impact assessments at the end of summer 2023, using the Woodland Herbivore Impact Assessment Method…we have also set up five exclosure plots in different habitats across the estate (oak woodland, juniper scrub, peatland, pine woodland and birch woodland)These areas will be monitored over time to see how the vegetation changes….camera traps, quadrats, transects, habitat condition survey 
Aspirational “If possible, adding long-term soil sampling to these quadrats, to track soil chemistry changes related to boar activity.”","Fieldwork
Wildlife tracking
DNA methods
Experiment
Aspirational (fieldwork)",NO,NA,NA,
